[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -2.7008000000e+00  ,  -2.3377000000e+02 ]]
event_a = 3.0000000000e+01
event_b = 1.0000000000e-03
event_sigma = 1.0000000000e-02
refresh_rate = 3.6585365295e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              419143,                   0,   -9.4387548828e+02,               -1243,                   0,    0.0000000000e+00,   -3.4947994995e+02,    3.1715953827e+01,    0.0000000000e+00
              429352,                  -1,   -9.4387548828e+02,                  -2,                   0,   -8.7922222912e-02,   -3.6123440552e+02,    3.1768838882e+01,    1.0754799843e+01
              439311,                  -2,   -9.4387548828e+02,                -759,                   0,   -9.0129323304e-02,   -3.7126965332e+02,    3.1813228607e+01,    1.9789897919e+01
              449469,                  -6,   -9.4387548828e+02,                -920,                   0,   -3.5345458984e-01,   -3.8000808716e+02,    3.1836360931e+01,    2.4530679703e+01
              459312,                  -9,   -9.4387548828e+02,                -969,                   0,   -2.7357441187e-01,   -3.8699963379e+02,    3.1855808258e+01,    2.8520982742e+01
              469350,                 -10,   -9.4387548828e+02,                -969,                   0,   -8.9420147240e-02,   -3.9260549927e+02,    3.1878286362e+01,    3.3125675201e+01
              479312,                 -11,   -1.0204340820e+03,                -969,                   0,   -9.0102143586e-02,   -3.9662545776e+02,    3.1892925262e+01,    0.0000000000e+00
              489352,                 -12,   -1.0204340820e+03,                -904,                   0,   -8.9402139187e-02,   -3.9910513306e+02,    3.1899942398e+01,    1.4796667099e+00
              499313,                 -12,   -1.0204340820e+03,                -969,                   0,    0.0000000000e+00,   -3.9999627686e+02,    3.1904050827e+01,    2.3725295067e+00
              509352,                 -13,   -1.0204340820e+03,               -1033,                   0,   -8.9411146939e-02,   -3.9930963135e+02,    3.1895408630e+01,    6.8418776989e-01
              519312,                 -13,   -1.0204340820e+03,                -969,                   0,    0.0000000000e+00,   -3.9705889893e+02,    3.1883975983e+01,    1.5691547394e+00
              529354,                 -13,   -1.0204340820e+03,               -1065,                   0,    0.0000000000e+00,   -3.9321588135e+02,    3.1864667892e+01,    5.4103155136e+00
              539313,                 -13,   -1.0204340820e+03,               -1065,                   0,    0.0000000000e+00,   -3.8785903931e+02,    3.1837873459e+01,    1.0766785622e+01
              549353,                 -13,   -1.0204340820e+03,               -1033,                   0,    0.0000000000e+00,   -3.8092193604e+02,    3.1803262711e+01,    1.7703733444e+01
              559375,                 -13,   -1.0204340820e+03,               -1065,                   0,    0.0000000000e+00,   -3.7248596191e+02,    3.1761236191e+01,    2.6139636993e+01
              569353,                 -13,   -1.0204340820e+03,               -1001,                   0,    0.0000000000e+00,   -3.6262017822e+02,    3.1712141037e+01,    3.6005386353e+01
              579310,                 -13,   -9.1382867432e+02,               -1001,                   0,    0.0000000000e+00,   -3.5135482788e+02,    3.1656124115e+01,    0.0000000000e+00
              589353,                 -13,   -9.1382867432e+02,                -985,                   0,    0.0000000000e+00,   -3.3859967041e+02,    3.1592735291e+01,    1.2755133629e+01
              599312,                 -13,   -9.1382867432e+02,               -1049,                   0,    0.0000000000e+00,   -3.2462011719e+02,    3.1523294449e+01,    2.6734683990e+01
              609353,                 -13,   -9.1382867432e+02,                -937,                   0,    0.0000000000e+00,   -3.0923925781e+02,    3.1446918488e+01,    4.2115558624e+01
              619313,                 -13,   -7.5559387207e+02,                -904,                   0,    0.0000000000e+00,   -2.9276669312e+02,    3.1365146637e+01,    0.0000000000e+00
              629352,                 -13,   -7.5559387207e+02,                -937,                   0,    0.0000000000e+00,   -2.7500378418e+02,    3.1276988983e+01,    1.7762914658e+01
              639312,                 -13,   -7.5559387207e+02,                -888,                   0,    0.0000000000e+00,   -2.5629953003e+02,    3.1184179306e+01,    3.6467155457e+01
              649352,                 -13,   -6.0343896484e+02,                -775,                   0,    0.0000000000e+00,   -2.3642971802e+02,    3.1085601807e+01,    0.0000000000e+00
              659312,                 -13,   -6.0343896484e+02,                -808,                   0,    0.0000000000e+00,   -2.1578866577e+02,    3.0983211517e+01,    2.0641048431e+01
              669357,                 -13,   -6.0343896484e+02,                -775,                   0,    0.0000000000e+00,   -1.9411604309e+02,    3.0875717163e+01,    4.2313678741e+01
              679313,                 -13,   -4.2908261108e+02,                -582,                   0,    0.0000000000e+00,   -1.7187242126e+02,    3.0765401840e+01,    0.0000000000e+00
              689353,                 -13,   -4.2908261108e+02,                -663,                   0,    0.0000000000e+00,   -1.4876049805e+02,    3.0650789261e+01,    2.3111917496e+01
              699311,                 -13,   -4.2908261108e+02,                -582,                   0,    0.0000000000e+00,   -1.2525252533e+02,    3.0534219742e+01,    4.6619888306e+01
              709440,                 -13,   -2.3723435974e+02,                -469,                   0,    0.0000000000e+00,   -1.0083855438e+02,    3.0413164139e+01,    0.0000000000e+00
              719311,                 -13,   -2.3723435974e+02,                -421,                   0,    0.0000000000e+00,   -7.6652793884e+01,    3.0293245316e+01,    2.4185760498e+01
              729463,                 -13,   -2.3723435974e+02,                -453,                   0,    0.0000000000e+00,   -5.1471992493e+01,    3.0168395996e+01,    4.9366561890e+01
              739425,                 -13,   -3.6618316650e+01,                -179,                   0,    0.0000000000e+00,   -2.6558320999e+01,    3.0044874191e+01,    0.0000000000e+00
              749466,                 -13,   -3.6618316650e+01,                -340,                   0,    0.0000000000e+00,   -1.3420858383e+00,    3.0035173416e+01,    2.5216236115e+01
              759427,                 -13,   -3.6618316650e+01,                -340,                   0,    0.0000000000e+00,    2.3678783417e+01,    3.0158628464e+01,    5.0237106323e+01
              769465,                 -13,    1.6690676880e+02,                 -34,                   0,    0.0000000000e+00,    4.8799015045e+01,    3.0282571793e+01,    0.0000000000e+00
              779425,                 -13,    1.6690676880e+02,                 -34,                   0,    0.0000000000e+00,    7.3532501221e+01,    3.0404605865e+01,    2.4733489990e+01
              789469,                 -13,    1.6690676880e+02,                 -34,                   0,    0.0000000000e+00,    9.8182785034e+01,    3.0526224136e+01,    4.9383769989e+01
              799425,                 -13,    3.6523348999e+02,                 143,                   0,    0.0000000000e+00,    1.2223159027e+02,    3.0644872665e+01,    0.0000000000e+00
              809466,                 -13,    3.6523348999e+02,                 127,                   0,    0.0000000000e+00,    1.4600115967e+02,    3.0762134552e+01,    2.3769561768e+01
              819426,                 -13,    3.6523348999e+02,                 224,                   0,    0.0000000000e+00,    1.6900529480e+02,    3.0875616074e+01,    4.6773700714e+01
              829475,                 -13,    5.5243286133e+02,                 352,                   0,    0.0000000000e+00,    1.9154415894e+02,    3.0986791611e+01,    0.0000000000e+00
              839426,                 -11,    5.5243286133e+02,                 417,                   0,    1.8040357530e-01,    2.1311128235e+02,    3.1083272934e+01,    1.9567951202e+01
              849538,                 -10,    5.5243286133e+02,                 336,                   0,    8.8765583932e-02,    2.3417373657e+02,    3.1182197571e+01,    3.9629673004e+01
              859423,                  -8,    6.6475146484e+02,                 546,                   0,    1.8160814047e-01,    2.5385055542e+02,    3.1269330978e+01,    0.0000000000e+00
              869469,                  -7,    6.6475146484e+02,                 578,                   0,    8.9348748326e-02,    2.7284448242e+02,    3.1358028412e+01,    1.7994155884e+01
