[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -1.9097760100e+00  ,  -1.9449064542e+02 ]]
event_a = 3.0000000000e+01
event_b = 1.0000000000e-03
event_sigma = 1.0000000000e-02
refresh_rate = 2.2902025223e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              414551,                   0,   -5.5647558594e+02,                   0,                   0,    0.0000000000e+00,   -3.4372100830e+02,    3.2030986786e+01,    5.2338371277e+01
              419080,                   3,   -7.8864831543e+02,                  -1,                  30,    5.9456700087e-01,   -3.4940289307e+02,    3.2082469940e+01,    0.0000000000e+00
              429310,                   3,   -7.8864831543e+02,                  -1,                   0,    0.0000000000e+00,   -3.6118905640e+02,    3.2152229309e+01,    1.1801135063e+01
              439461,                   2,   -7.8864831543e+02,                -533,                   0,   -8.8424578309e-02,   -3.7140979004e+02,    3.2206741333e+01,    2.1017974854e+01
              449419,                  -1,   -7.8864831543e+02,                -758,                   0,   -2.7041512728e-01,   -3.7996884155e+02,    3.2239490509e+01,    2.6580015182e+01
              459460,                  -2,   -7.8864831543e+02,                -774,                   0,   -8.9393280447e-02,   -3.8709350586e+02,    3.2275600433e+01,    3.2697769165e+01
              469422,                  -3,   -7.2660131836e+02,                -758,                   0,   -9.0102173388e-02,   -3.9264010620e+02,    3.2302330017e+01,    0.0000000000e+00
              479463,                  -3,   -7.2660131836e+02,                -807,                   0,    0.0000000000e+00,   -3.9667446899e+02,    3.2326015472e+01,    4.0353684425e+00
              489419,                  -3,   -7.2660131836e+02,                -774,                   0,    0.0000000000e+00,   -3.9911633301e+02,    3.2340232849e+01,    6.4768648148e+00
              499465,                  -3,   -7.2660131836e+02,                -742,                   0,    0.0000000000e+00,   -3.9999774170e+02,    3.2345172882e+01,    7.3581857681e+00
              509417,                  -3,   -7.2660131836e+02,                -710,                   0,    0.0000000000e+00,   -3.9930001831e+02,    3.2340724945e+01,    6.6605191231e+00
              519465,                  -3,   -7.2660131836e+02,                -726,                   0,    0.0000000000e+00,   -3.9701217651e+02,    3.2326820374e+01,    4.3729834557e+00
              529421,                  -3,   -7.2660131836e+02,                -774,                   0,    0.0000000000e+00,   -3.9318496704e+02,    3.2303771973e+01,    5.5226773024e-01
              539488,                  -3,   -7.2660131836e+02,                -742,                   0,    0.0000000000e+00,   -3.8775128174e+02,    3.2271163940e+01,    4.8896641731e+00
              549420,                  -3,   -7.2660131836e+02,                -742,                   0,    0.0000000000e+00,   -3.8087054443e+02,    3.2229961395e+01,    1.1769917488e+01
              559526,                  -3,   -7.2660131836e+02,                -710,                   0,    0.0000000000e+00,   -3.7234747314e+02,    3.2178989410e+01,    2.0292818069e+01
              569421,                  -3,   -7.2660131836e+02,                -710,                   0,    0.0000000000e+00,   -3.6254800415e+02,    3.2120433807e+01,    3.0092227936e+01
              579467,                  -3,   -7.2660131836e+02,                -694,                   0,    0.0000000000e+00,   -3.5116604614e+02,    3.2052467346e+01,    4.1474155426e+01
              589418,                  -3,   -6.4075408936e+02,                -726,                   0,    0.0000000000e+00,   -3.3851266479e+02,    3.1976943970e+01,    0.0000000000e+00
              599465,                  -3,   -6.4075408936e+02,                -710,                   0,    0.0000000000e+00,   -3.2439529419e+02,    3.1892713547e+01,    1.4117372513e+01
              609420,                  -3,   -6.4075408936e+02,                -726,                   0,    0.0000000000e+00,   -3.0913241577e+02,    3.1801677704e+01,    2.9380256653e+01
              619464,                  -3,   -6.4075408936e+02,                -613,                   0,    0.0000000000e+00,   -2.9250796509e+02,    3.1702543259e+01,    4.6004718781e+01
              629419,                  -3,   -5.1923272705e+02,                -613,                   0,    0.0000000000e+00,   -2.7488146973e+02,    3.1597454071e+01,    0.0000000000e+00
              639463,                  -3,   -5.1923272705e+02,                -629,                   0,    0.0000000000e+00,   -2.5600805664e+02,    3.1484951019e+01,    1.8873414993e+01
              649421,                  -3,   -5.1923272705e+02,                -662,                   0,    0.0000000000e+00,   -2.3628981018e+02,    3.1367425919e+01,    3.8591651917e+01
              659461,                  -3,   -4.0577633667e+02,                -484,                   0,    0.0000000000e+00,   -2.1547326660e+02,    3.1243370056e+01,    0.0000000000e+00
              669424,                  -3,   -4.0577633667e+02,                -517,                   0,    0.0000000000e+00,   -1.9396878052e+02,    3.1115226746e+01,    2.1504472733e+01
              679462,                  -3,   -4.0577633667e+02,                -484,                   0,    0.0000000000e+00,   -1.7153419495e+02,    3.0981552124e+01,    4.3939064026e+01
              689421,                  -3,   -2.7806689453e+02,                -420,                   0,    0.0000000000e+00,   -1.4860183716e+02,    3.0844919205e+01,    0.0000000000e+00
              699486,                  -3,   -2.7806689453e+02,                -404,                   0,    0.0000000000e+00,   -1.2483474731e+02,    3.0703321457e+01,    2.3767093658e+01
              709488,                  -3,   -2.7806689453e+02,                -404,                   0,    0.0000000000e+00,   -1.0072180939e+02,    3.0559669495e+01,    4.7880035400e+01
              719460,                  -3,   -1.3995835876e+02,                -178,                   0,    0.0000000000e+00,   -7.6285217285e+01,    3.0414094925e+01,    0.0000000000e+00
              729419,                  -3,   -1.3995835876e+02,                -178,                   0,    0.0000000000e+00,   -5.1581653595e+01,    3.0266933441e+01,    2.4703565598e+01
              739464,                  -3,   -1.3995835876e+02,                -194,                   0,    0.0000000000e+00,   -2.6460519791e+01,    3.0117286682e+01,    4.9824699402e+01
              749419,                  -3,    2.9406559467e+00,                 -98,                   0,    0.0000000000e+00,   -1.4602090120e+00,    2.9986669540e+01,    0.0000000000e+00
              759463,                  -3,    2.9406559467e+00,                 -98,                   0,    0.0000000000e+00,    2.3769102097e+01,    3.0136356354e+01,    2.5229310989e+01
              769417,                  -3,    2.9406559467e+00,                -227,                   0,    0.0000000000e+00,    4.8679275513e+01,    3.0284149170e+01,    5.0139484406e+01
              779468,                  -2,    1.2708417511e+02,                  -1,                  30,    8.9304335415e-02,    7.3638732910e+01,    3.0426286697e+01,    0.0000000000e+00
              789417,                  -2,    1.2708417511e+02,                  15,                   0,    0.0000000000e+00,    9.8056083679e+01,    3.0571149826e+01,    2.4417516708e+01
              799468,                  -1,    1.2708417511e+02,                  -1,                   0,    8.9304342866e-02,    1.2233448792e+02,    3.0709239960e+01,    4.7695758820e+01
              809420,                   0,    2.6108227539e+02,                  96,                  30,    9.0192712843e-02,    1.4589350891e+02,    3.0843055725e+01,    0.0000000000e+00
              819463,                   1,    2.6108227539e+02,                  96,                   0,    8.9375481009e-02,    1.6908956909e+02,    3.0974710464e+01,    2.2196058273e+01
              829418,                   2,    2.6108227539e+02,                 208,                   0,    9.0165533125e-02,    1.9141838074e+02,    3.1101211548e+01,    4.3524875641e+01
              839465,                   3,    3.8404812622e+02,                 289,                   0,    8.9339889586e-02,    2.1319422913e+02,    3.1224422455e+01,    0.0000000000e+00
              849487,                   4,    3.8404812622e+02,                 337,                   0,    8.9562758803e-02,    2.3406980896e+02,    3.1342283249e+01,    1.9875583649e+01
              859463,                   4,    3.8404812622e+02,                 192,                   0,    0.0000000000e+00,    2.5392823792e+02,    3.1460042953e+01,    3.9734115601e+01
              869420,                   4,    5.1326074219e+02,                 353,                   0,    0.0000000000e+00,    2.7275439453e+02,    3.1571666718e+01,    0.0000000000e+00
              879464,                   4,    5.1326074219e+02,                 434,                   0,    0.0000000000e+00,    2.9066363525e+02,    3.1677835464e+01,    1.7909225464e+01
              889418,                   4,    5.1326074219e+02,                 466,                   0,    0.0000000000e+00,    3.0727087402e+02,    3.1776266098e+01,    3.4516452789e+01
              899463,                   4,    6.0885888672e+02,                 515,                   0,    0.0000000000e+00,    3.2281167603e+02,    3.1868356705e+01,    0.0000000000e+00
              909422,                   4,    6.0885888672e+02,                 531,                   0,    0.0000000000e+00,    3.3695056152e+02,    3.1952114105e+01,    1.4138897896e+01
              919463,                   4,    6.0885888672e+02,                 531,                   0,    0.0000000000e+00,    3.4987048340e+02,    3.2028621674e+01,    2.7058824539e+01
              929422,                   4,    6.0885888672e+02,                 547,                   0,    0.0000000000e+00,    3.6130990601e+02,    3.2096328735e+01,    3.8498252869e+01
              939460,                   4,    7.0166857910e+02,                 660,                   0,    0.0000000000e+00,    3.7140884399e+02,    3.2156066895e+01,    0.0000000000e+00
              949422,                   4,    7.0166857910e+02,                 563,                   0,    0.0000000000e+00,    3.7997119141e+02,    3.2206672668e+01,    8.5623502731e+00
              959461,                   4,    7.0166857910e+02,                 611,                   0,    0.0000000000e+00,    3.8709414673e+02,    3.2248718262e+01,    1.5685306549e+01
              969423,                   4,    7.0166857910e+02,                 660,                   0,    0.0000000000e+00,    3.9264059448e+02,    3.2281391144e+01,    2.1231739044e+01
              979464,                   4,    7.0166857910e+02,                 660,                   0,    0.0000000000e+00,    3.9667480469e+02,    3.2305076599e+01,    2.5265943527e+01
