[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -1.9097760100e+00  ,  -1.9449064542e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 4.6531055450e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              789825,                -132,    3.9602517700e+02,                 348,                   0,    8.9206300676e-02,    9.9049888611e+01,    9.7577266693e+00,    2.3682710648e+01
              799763,                -130,    4.4811706543e+02,                 332,                   0,    1.8064096570e-01,    1.2304016876e+02,    9.8698873520e+00,    0.0000000000e+00
              809804,                -126,    4.4811706543e+02,                 396,                  30,    3.5757145286e-01,    1.4679170227e+02,    9.9685888290e+00,    1.9752325058e+01
              819758,                -120,    4.4815005493e+02,                 396,                   0,    5.4104882479e-01,    1.6976119995e+02,    1.0050955772e+01,    0.0000000000e+00
              829827,                -111,    4.4815005493e+02,                 445,                  30,    8.0230152607e-01,    1.9232034302e+02,    1.0112876892e+01,    1.3561664581e+01
              839761,                 -98,    3.6705819702e+02,                 461,                  60,    1.1746296883e+00,    2.1382331848e+02,    1.0145034790e+01,    0.0000000000e+00
              849874,                 -83,    3.6705819702e+02,                 412,                  30,    1.3313530684e+00,    2.3485783386e+02,    1.0162223816e+01,    6.0365567207e+00
              859762,                 -64,    3.6705819702e+02,                 429,                  60,    1.7247532606e+00,    2.5450842285e+02,    1.0147870064e+01,    6.7077064514e+00
              869808,                 -44,    3.6705819702e+02,                 332,                  60,    1.7869757414e+00,    2.7346688843e+02,    1.0123197556e+01,    5.6766920090e+00
              879762,                 -21,    3.6705819702e+02,                 332,                  90,    2.0740156174e+00,    2.9117764282e+02,    1.0073491096e+01,    9.6667236090e-01
              889808,                   3,    3.6705819702e+02,                 364,                  60,    2.1443710327e+00,    3.0789749146e+02,    1.0011813164e+01,    6.9933881760e+00
              899760,                  30,    3.6705819702e+02,                 364,                  60,    2.4352030754e+00,    3.2325189209e+02,    9.9244079590e+00,    1.8614158630e+01
              909804,                  57,    6.6343070984e+01,                 364,                  90,    2.4128975868e+00,    3.3746697998e+02,    9.8300876617e+00,    0.0000000000e+00
              919763,                  87,    6.6343070984e+01,                 364,                  90,    2.7038795948e+00,    3.5023532104e+02,    9.7095460892e+00,    1.7234092712e+01
              929806,                 118,   -7.3407386780e+01,                 364,                  90,    2.7706403732e+00,    3.6172296143e+02,    9.5753240585e+00,    0.0000000000e+00
              939759,                 150,   -7.3407386780e+01,                  74,                  90,    2.8858773708e+00,    3.7168719482e+02,    9.4263114929e+00,    2.2036058426e+01
              949805,                 178,   -1.0027782440e+02,                  74,                  90,    2.5017650127e+00,    3.8027087402e+02,    9.2927055359e+00,    0.0000000000e+00
              959759,                 202,   -1.0027782440e+02,                 -23,                  60,    2.1641924381e+00,    3.8728219604e+02,    9.1737413406e+00,    1.6992040634e+01
              969805,                 221,   -2.0293443203e+00,                 -87,                  60,    1.6976258755e+00,    3.9282278442e+02,    9.0756244659e+00,    0.0000000000e+00
              979758,                 236,   -2.0293443203e+00,                 -55,                  30,    1.3527554274e+00,    3.9676919556e+02,    8.9920263290e+00,    1.1058958054e+01
              989861,                 245,    1.3895054626e+02,                 -87,                  30,    7.9960221052e-01,    3.9918859863e+02,    8.9347867966e+00,    0.0000000000e+00
              999762,                 249,    1.3895054626e+02,                  -7,                   0,    3.6262902617e-01,    3.9999954224e+02,    8.8981227875e+00,    3.2188491821e+00
             1009826,                 251,    1.3895054626e+02,                  -7,                   0,    1.7837713659e-01,    3.9923791504e+02,    8.8637561798e+00,    5.9830303192e+00
             1019765,                 251,    1.3895054626e+02,                 171,                   0,    0.0000000000e+00,    3.9691946411e+02,    8.8322887421e+00,    8.3077011108e+00
             1029804,                 251,    1.3895054626e+02,                  90,                   0,    0.0000000000e+00,    3.9300689697e+02,    8.7912054062e+00,    1.2207911491e+01
             1039765,                 251,    2.6083666992e+02,                 171,                   0,    0.0000000000e+00,    3.8757971191e+02,    8.7412967682e+00,    0.0000000000e+00
             1049804,                 251,    2.6083666992e+02,                  90,                   0,    0.0000000000e+00,    3.8057455444e+02,    8.6819076538e+00,    7.0051827431e+00
             1059759,                 251,    2.6083666992e+02,                 187,                   0,    0.0000000000e+00,    3.7213314819e+02,    8.6141681671e+00,    1.5446582794e+01
             1069804,                 251,    2.1225305176e+02,                 267,                   0,    0.0000000000e+00,    3.6214028931e+02,    8.5370864868e+00,    0.0000000000e+00
             1079762,                 251,    2.1225305176e+02,                 267,                   0,    0.0000000000e+00,    3.5081045532e+02,    8.4522476196e+00,    1.1329840660e+01
             1089806,                 252,    1.4684448242e+02,                 267,                   0,    8.9368395507e-02,    3.3799218750e+02,    8.3525037766e+00,    0.0000000000e+00
             1099760,                 252,    1.4684448242e+02,                 235,                   0,    0.0000000000e+00,    3.2396096802e+02,    8.2516908646e+00,    1.4031486511e+01
             1109806,                 252,    1.0793263245e+02,                 219,                   0,    0.0000000000e+00,    3.0851586914e+02,    8.1423501968e+00,    0.0000000000e+00
             1119762,                 252,    1.0793263245e+02,                  90,                   0,    0.0000000000e+00,    2.9199658203e+02,    8.0268192291e+00,    1.6519268036e+01
             1129919,                 252,    4.1952445984e+01,                 203,                   0,    0.0000000000e+00,    2.7396719360e+02,    7.9020004272e+00,    0.0000000000e+00
             1139761,                 252,    4.1952445984e+01,                 138,                   0,    0.0000000000e+00,    2.5543212891e+02,    7.7747602463e+00,    1.8535072327e+01
             1149808,                 252,   -3.1503053665e+01,                 138,                   0,    0.0000000000e+00,    2.3550431824e+02,    7.8350582123e+00,    0.0000000000e+00
             1159762,                 252,   -3.1503053665e+01,                  58,                   0,    0.0000000000e+00,    2.1483552551e+02,    7.9407682419e+00,    2.0668798447e+01
             1169807,                 252,   -1.1243540955e+02,                  42,                   0,    0.0000000000e+00,    1.9312638855e+02,    8.0525455475e+00,    0.0000000000e+00
             1179762,                 252,   -1.1243540955e+02,                 -23,                   0,    0.0000000000e+00,    1.7085275269e+02,    8.1678705215e+00,    2.2273633957e+01
             1189805,                 252,   -1.9917935181e+02,                 -23,                   0,    0.0000000000e+00,    1.4770538330e+02,    8.2882785797e+00,    0.0000000000e+00
             1199759,                 251,   -1.9917935181e+02,                 -55,                   0,   -9.0176425874e-02,    1.2418270874e+02,    8.4051628113e+00,    2.2522853851e+01
             1209806,                 249,   -2.4990428162e+02,                -152,                 -30,   -1.7867897451e-01,    9.9948135376e+01,    8.5202140808e+00,    0.0000000000e+00
             1219759,                 246,   -2.4990428162e+02,                -264,                 -30,   -2.7055197954e-01,    7.5547409058e+01,    8.6305065155e+00,    2.1400924683e+01
             1229802,                 242,   -2.9594918823e+02,                -216,                   0,   -3.5750028491e-01,    5.0626956940e+01,    8.7378282547e+00,    0.0000000000e+00
             1239763,                 236,   -2.9594918823e+02,                -280,                   0,   -5.4066789150e-01,    2.5710649490e+01,    8.8334140778e+00,    1.8917194366e+01
             1249805,                 228,   -2.9541732788e+02,                -280,                 -30,   -7.1507620811e-01,    4.9008834362e-01,    8.9188194275e+00,    0.0000000000e+00
             1259819,                 217,   -2.9541732788e+02,                -313,                 -30,   -9.8597651720e-01,   -2.4662187576e+01,    8.9860715866e+00,    1.4154867172e+01
             1269761,                 205,   -2.7539761353e+02,                -232,                 -30,   -1.0834022760e+00,   -4.9537300110e+01,    9.0458869934e+00,    0.0000000000e+00
